pm10	no2	so2	soot
73.02	36.3	25.69	16.2
56.74	38.31	23.41	31
171.83	90.3	37.75	91.31
53.9	42.88	28.76	21.6
43.23	32.13	19.66	16.53
39.47	27.71	15.58	13.86
16.9	26.1	12.73	11.79
19.82	21.58	12.57	11.86
30.85	29.52	15.54	14.62
59.78	38.34	24.23	23.29
158.7	52.96	39.01	39.4
185.18	58.46	64.05	29.33
160.5	49.33	65.93	14.44
212.86	52.11	73.42	16
137.24	37.94	41.13	13.29
76.57	28.71	20.59	8.35
75.76	26.32	29.69	14.44
132.62	35.3	38.61	23.39
46.15	23.19	35.39	14.67
95.08	32.95	36.76	24.94
118.8	52.49	42.86	53.17
76.28	45.56	38.05	39.33
122.33	56.33	33.85	35.61
75.21	25.65	24.62	16.5
55.79	29.36	20.69	15.78
96.56	44.58	28.25	29.28
94.83	55.06	31.84	35.58
68.63	39.95	25.15	26.95
55.03	40.22	21.68	25
118.71	55.34	31.78	48.17
104.07	37.47	20.72	27.61
48.28	27.45	21.58	11.83
32.1	27.35	12.18	11.11
24.72	26.51	13.21	11.78
17.65	20.14	12.2	8.63
36.05	22.11	15.01	12.94
53.6	31.28	18.57	20.26
70.95	34.94	27.77	20.37
114.82	52.75	40.15	33.53
111.46	48.64	35.71	24.79
69.37	31.26	35.61	14.42
57.77	24.16	26.85	11.37
99.83	30.28	30.51	20.21
82.53	36.37	33.09	14
118.65	43.28	71.34	22.89
103.42	43.27	123.13	17.63
95.68	41.73	32.25	27.47
109.77	45.35	33.52	26.47
166.48	81.91	49.33	77.11
146.6	87.84	50.39	86.47
197.3	138.01	65.77	91.56
159.12	105.98	59.53	87.56
63.6	69.4	31.81	60.67
104.32	53.74	38.57	52
123.58	73.83	55.66	53.28
59.4	41.02	27.48	40.44
67.16	37.43	33.12	32.67
57.95	36.77	25.03	19.63
48.08	30.05	21.31	19.79
36.35	23.9	22.56	13.68
36.36	24.28	19.54	13.95
41.38	26.18	24.83	14.89
39.98	29.62	19.61	18.47
75.4	21.63	15.77	20.95
43.03	22.38	29.45	13.68
56.63	24.01	23.01	20.32
76	27.6	16.81	22.74
82.25	25.52	19.34	25.68
70.07	30.93	21.73	25.16
88.67	28.64	31.56	29.53
58.17	27.33	30.46	18
45.77	29.53	27.86	18.74
59.4	28.41	30.63	19.79
45.64	20.46	27.36	15.26
42.42	23.64	32.01	19.26
76.26	39.57	43.12	21.74
75.78	32.76	32.5	21.28
63.44	24.94	24.45	18.06
24.84	22.71	21.21	13.44
53.82	31.7	20.62	18.78
86.26	49.9	41.68	31.06
108.88	62.31	65.91	40.79
113.06	66.02	44.52	37.16
90.28	53.31	37.8	28.79
26.95	36.71	24.98	22.16
34.7	40.03	25.14	18.61
70.16	44.73	20.54	19.67
41	36.1	18.64	16.11
28.2	26.08	18.98	12.06
33.52	29.28	18.69	10.29
11.54	23.51	7.87	7.06
15.16	20.48	7.28	6.76
45.98	30.34	16.27	10.17
44.88	32.49	14.08	21.16
58.18	33.03	14.51	13.63
51.86	35.79	12.56	14.58
50.5	45.99	25.65	21.21
42.36	40.49	16.13	18.47
41.58	29.74	11.63	13.47
45.98	38.29	14.3	13.84
27.9	38.33	12.79	18.63
38.7	47.83	13.33	17.33
35.15	40.71	21.92	20.79
48.26	43.4	14.05	18.42
46.12	39.46	10.76	17.53
56.38	41.64	12.02	22.16
65.74	53.81	23.58	26.11
33.32	31.27	10.37	14.53
40.34	33.98	11.96	20.89
37.38	37.11	10.83	19
44.7	24.44	9.57	15.42
47.64	18.78	9.09	12.42
30.3	20	9.3	10.89
30.5	30.37	9.11	13.63
31.88	35.83	10.7	14.63
14.68	26.64	9.42	11
11.4	23.04	8.64	9.95
24.94	28.44	9.85	14.21
38.58	28.77	11.52	13.95
42.58	26.54	12.14	15.53
46.72	40.73	14.24	13.37
48.8	40.83	11.46	15.47
51.8	51.53	12.87	18.37
37.03	40.34	12.46	22.37
36.83	25.41	11.23	11.74
25.75	21.59	11.19	9.89
19.6	17.79	10.34	9.42
20.08	19.32	8.71	9.37
18.15	22.35	7.93	9.63
18.3	25.81	8.81	13.26
26.68	25.82	13.97	13.94
28.24	27.34	12.21	15.94
13.64	29.08	9.78	14.17
26.73	25.89	10.98	13
22.36	25.44	9.58	12.33
25.96	24.36	10.46	14.47
24.61	28.81	8.68	12.75
28.44	32.23	8.98	14.56
29.14	37.8	13.5	16.89
29.97	35.19	16.09	15.22
21.28	25.78	10.41	16.94
33.29	35.36	14.01	16.47
38.49	43.14	11.56	16.35
30.42	44.94	10.06	14.88
35.79	49.35	12.79	16.53
38.67	50.17	14.15	19.12
37.11	41.45	14.47	16.82
31.63	31.5	16.46	11.76
6.38	25.78	8.81	12.28
19.86	30.81	8.35	14.5
41.28	35.95	14.28	16.06
31.66	31.49	14.5	17.29
30.7	31.29	13.33	15.88
47.42	37.71	16.56	19.18
31.88	25.19	28.15	13.24
37.24	34.23	11.97	12.06
47.34	38.07	13.7	13.88
32.76	33.31	10.61	15.88
34.18	31	11.7	16.31
24.96	23.61	11.05	14.93
29.78	21.85	16.58	14.13
13.96	22.64	8.14	15.13
28.96	31.96	11.04	16.29
33.96	27.18	13.31	17.18
30.43	28.39	11.54	16.87
35.7	30.67	8	15.29
45.02	34.9	8.56	15.65
52.25	34.35	9.09	16.82
38.57	29.06	9.98	13.29
